药材,别名,性味归经,功用,症状,药材分类,用法用量,注意事项
代赭石,须丸、赤土、丁头代赭、血师、紫朱、赭石、土朱、铁朱、钉头赭石、钉赭石、赤赭石,味苦，性寒；归肝、心经,平肝潜阳，重镇降逆，凉血止血。,1、肝阳上亢，头晕目眩：本品为矿石类药物，质重沉降，长于镇潜肝阳；又性味苦寒，善清肝火，故为重镇潜阳常用之品。  2、呕吐，呃逆，噫气：本品质重性降，为重镇降逆要药。  3、气逆喘息：本品重镇降逆，能降上逆之肺气而平喘。  4、血热吐衄，崩漏：本品苦寒，入心肝血分，有凉血止血之效。,矿物,内服：煎服，10-30g；宜打碎先煎。入丸、散，每次1-3g。外用：适量。降逆、平肝宜生用，止血宜煅用。,虚寒证及孕妇慎服。
啄木鸟,斫木、山啄木、火老鸦,味甘，性平；归肝、脾经,滋养补虚，消肿止痛。,肺结核，小儿疳积，痔疮肿痛，龋齿牙痛。,动物,内服：煎汤，1只；或煅研，5-10g。外用：适量，煅末纳龋孔中。,
白芥子,辣菜子,被子植物门,温肺化痰，利气，散结消肿。,1、主要用于寒痰喘咳，悬饮，阴疽流注，肢体麻木，关节肿痛。 2、西医诊为急慢性支气管炎、支气管哮喘、渗出性胸膜炎、结核性胸膜炎、感冒、急慢性鼻炎属于寒痰停饮者，风湿性关节炎、化脓性骨髓炎、淋巴结肿大等属于痰湿阻滞者。,双子叶植物纲,内服：煎汤，3-10g；或入丸、散。外用：研末调敷；穴位敷贴。,1、辛温走散，耗气伤阴，久咳肺虚及阴虚火旺者忌用。
雪莲花,雪莲、雪荷花、大拇花、大木花,被子植物门,祛风湿，强筋骨，补肾阳，调经止血。,1、主要用于风湿痹证，经闭痛经，崩漏带下，阳痿等。 2、西医诊为风湿、类风湿性关节炎、腰肌蒡损、骨质增生属风寒湿邪闭阻型，妇女月经不调、妇科炎症属寒凝者，男性性功能紊乱属肾阳亏虚型。,双子叶植物纲,内服：煎汤，6-12g或浸酒。外用：捣敷。,用量不宜过大，孕妇禁服。
广藿香,藿香、海藿香,味辛，性微温；归脾、胃、肺经,芳香化湿，和胃止呕，祛暑解表。,1、湿阻中焦证：藿香芳香醒脾，运化湿浊，为治疗湿阻中焦证的常用药物。  2、呕吐：藿香微温而不燥烈，无论寒、热、虚、实的呕吐皆可应用，然其芳香化湿，和胃止呕，故对脾胃湿浊引起的呕吐尤为适宜。  3、暑湿感冒及湿温初起：藿香化湿和中，又能祛暑解表。  4、鼻渊、鼻流浊涕、不闻香臭：藿香辛散化浊以通鼻窍。,植物,内服：煎汤，5-10g，鲜者加倍，不宜久煎；或入丸、散。外用：适量，煎水含漱，或浸泡患部；或研末调敷。藿香叶偏于解表，藿香梗偏于和中止呕。,阴虚者禁服。
鹿茸,斑龙珠,味甘、咸，性温；归肾、肝经,补肾阳，益精血，强筋骨，调冲任，托疮毒。,1、肾阳虚衰，精血不足证：本品甘温补阳，甘咸滋肾，禀纯阳之性，具生发之气，故能壮肾阳，益精血。  2、肾虚骨弱，腰膝无力或小儿五迟：本品补肾阳，益精血，强筋骨。  3、妇女冲任虚寒，崩漏带下：本品补肾阳，益精血而兼能固冲任，止带下。  4、疮疡久溃不敛，阴疽疮肿内陷不起：本品补阳气、益精血而达到温补内托的目的。,动物,内服：1-2g，研末吞服；或入丸、散。,服用本品宜从小量开始，缓缓增加，不可骤用大量，以免阳升风动，头晕目赤，或伤阴动血。凡发热者均当忌服。
狗尾草,莠、莠草子、莠草、光明草、阿罗汉草、狗尾半支、大尾草、大尾曲、毛娃娃、毛嘟嘟、毛毛草,味甘、淡，性凉,清热利湿，祛风明目，解毒，杀虫。,风热感冒，黄疸，小儿疳积，痢疾，小便涩痛，目赤涩痛，目赤肿痛，痈肿，寻常疣，疮癣。,植物,内服：煎汤，6-12g，鲜品可用至30-60g。外用煎水洗或捣敷。,脾胃虚寒者慎服。
化州橘红,化州橘红、柚子皮,味辛、苦，性温。归肺、脾经,理气宽中，燥湿化痰。,用于咳嗽痰多，食积伤酒，呕恶痞闷。,植物,3～6g。,
赤石脂,赤符、红高岭、赤石土、吃油脂、红土,味甘、涩，性温；归大肠、胃经,涩肠止泻，收敛止血，敛疮生肌。,主要用于久泻久痢，大便出血，崩漏带下；外治疮疡久溃不敛，湿疮脓水浸淫。 ,矿物,内服：煎汤，10-15g，宜先煎去渣，取汁再入其他药煎煮；或入丸、散。外用：研末撒或调敷。,赤石脂性收涩，湿热积滞泻痢者忌服。孕妇应慎用。石脂畏官桂。
青果,谏果,味甘、酸，性平；归肺、胃经,清热解毒，利咽，生津。,1、咽喉肿痛，咳嗽烦渴：本品性平偏寒，功能清热解毒，生津利咽，化痰止咳。  2、鱼蟹中毒：本品甘平解毒。 ,植物,内服：煎服，4.5-9g；鲜品尤佳，可用至30-50g。,尚不明确。
竹黄,淡竹黄、竹三七、血三七、竹参、赤团子、竹赤团子、竹赤斑菌、淡菊花、天竹花、淡竹花、竹花、竹茧。,味淡，性平，归肺，肝经,化痰止咳，活血祛风，利湿。,用于咳嗽痰多，百日咳，带下，胃痛，风湿痹痛，小儿惊风，跌打损伤。,植物,内服：煎汤6-15g；或浸酒。外用：适量，酒浸敷。,《全国中草药汇编》：“孕妇及高血压患者禁服，服药期间忌食萝卜、酸辣。”
秦皮,岑皮、秦白皮、（木寻）木皮、蜡树皮,味苦、涩，性寒；归肝、胆、大肠经,清热燥湿，收涩止痢，止带，明目。,1、湿热泻痢，带下阴痒：本品性苦寒而收涩，功能清热燥湿、收涩止痢、止带。  2、肝热目赤肿痛，目生翳膜：本品清热之中，能泻肝火，明目退翳。 ,植物,内服：煎服，6-12g。外用：适量，煎洗患处。,脾胃虚寒者忌用。
透明草,玻璃草（广西）,味淡、涩，性凉。入心经,清热解毒。,痈疮肿痛，丹毒，无名肿痛，烧伤烫伤，毒蛇咬伤。,植物,内服：煎汤，5～15g。外用：适量，鲜全草，捣敷或绞汁涂。,
银耳,白木耳、白耳、桑鹅、五鼎芝、白耳子,味甘，性平；归肺、胃、肾经,滋阴润肺，养胃生津。,虚劳咳嗽，痰中带血，津少口渴，病后体虚，气短乏力。,植物,内服：煎汤，3-10g；或炖冰糖、肉类服。,近年来，市场上出现用硫黄熏白的银耳，食用后对人体有害，故不可食用。此外，银耳变质后受细菌污染产生毒素，食用后会中毒，严重者会导致肾功能衰竭、脑水肿等，以至死亡。
苏木,苏枋、苏方、苏方木、棕木、赤木、红柴、红苏木、落文树,味甘、咸、辛，性平；归心、肝经,活血祛瘀，消肿止痛。,主要用于跌打损伤，骨折筋伤，瘀滞肿痛，血滞经闭，产后瘀阻腹痛，痛经，心腹疼痛，痈肿疮毒。 ,植物,内服：煎服，3-10g。外用：适量，研末撒敷。,血虚无瘀滞者、月经过多者及孕妇禁服。
蜻蜓,负劳、蟌、蜻蛉、桑根、胡蝶、狐梨、诸乘、胡蜊、马大头、纱羊、蜻虰、青娘子、蝍蛉、仓螘。,味咸，性温。归肾经,益肾壮阳，强阴秘精。,用于肾虚阴痿，遗精，喘咳。,无毒（《日华子》）,内服：研末，3-6g；或入丸剂。,
白矾,矾石、羽涅、羽泽、理石、白君、明矾、雪矾、云母矾、生矾,味涩、酸，性寒；归肺脾、肝、大肠经,外用解毒杀虫，燥湿止痒；内服止血止泻，祛痰开闭。,主要用于疥癣、湿疹瘙痒、疮疡、久泻久痢、吐衄下血、中风痰厥、癫狂痫等。,有小毒,内服：研末，1-3g；或入丸、散。外用：适量，研末撒；或吹喉；或调敷；或化水洗漱。生用偏于解毒杀虫，煅枯用偏于收敛生肌。,本品味涩难服，内服不宜过量，易致呕吐；体虚胃弱者慎服。
太子参,童子参,味甘、苦，性平；归脾、肺经,补气生津，健脾益肺。,主要用于脾气虚弱，胃阴不足，热病后期，气阴两伤，阴虚肺燥，干咳少痰等。,植物,内服：煎汤，10-15g。,脾寒肠滑久泄者忌用。
淡豆豉,香豉、淡豉,味苦、辛，性凉；归肺、胃经,解表，除烦，宣发郁热。,1、外感表证：本品辛散轻浮，能疏散表邪，且发汗解表之力颇为平稳，无论风寒、风热表证，皆可配伍使用。  2、热病烦闷：本品辛散苦泄性凉，既能透散外邪，又能宣散邪热、除烦。,植物,内服：煎服，6-12g。,尚不明确。
蓖麻,红蓖麻、天麻子果、蓖麻子,种子、叶：为甘、辛，性平；根：味淡、微辛，性平,种子：消肿，排脓，拔毒。,种仁：子宫脱垂，脱肛，捣烂敷头顶百会穴；难产，胎盘不下，捣烂敷足心，涌泉穴；面神经麻痹，捣烂外敷，病左敷右，病右敷左，疮疡化脓未溃、淋巴结核，竹、木刺金属入肉，捣成膏状外敷。 种仁油：（榨油提纯蓖麻油）肠内积滞，大便秘结。用量10-20ml，顿服。 叶：疮疡肿毒，鲜品捣烂外敷；湿疹瘙痒，煎水外洗；灭蛆、杀孑孓，取叶或种仁外壳0.5kg，加水5kg，煎30分钟，药液按5%的比例放入污水或粪坑中。 根：风湿关节痛，破伤风，癫痫，精神分裂症。用量30-60g，水煎服。,种子有毒，叶有小毒,内服：根30-60g，水煎服。,
蟾蜍草,荔枝草、癞子草、癞蛤蟆草,味苦、辛，性凉；归肺、胃经,清热解毒，凉血散瘀，利水消肿。,本品主治感冒发热，咽喉肿痛，肺热咳嗽，咳血，吐血，尿血，崩漏，痔疮出血，肾炎水肿，白浊，痢疾痈肿疮毒，湿疹瘙痒，跌打损伤，蛇虫咬伤。,植物,内服：煎汤9-30g（鲜品15-60g），或捣绞汁饮。外用：捣敷，或绞汁含漱及滴耳，亦可煎水外洗。,孕妇慎用。
醋香附,Cyperi Rhizoma,广东、河南、四川、浙江、山东,疏肝止痛、消积化滞。,用于伤食腹痛、血中气滞、寒凝气滞、胃脘疼痛等。,味微苦，归肝经,内服：煎汤，5-10g；或入丸、散。,尚不明确。
白豆,饭豆、眉豆、白目豆、甘豆,味甘、咸，性平,补中益气，健脾益肾。,脾肾虚损，水肿。,植物,内服：煮食，90-150g。,
野菊花,野黄菊花、苦薏,味苦、辛，性微寒；归肝、心经,清热解毒。,1、痈疽疔疖，咽喉肿痛：本品辛散苦降，其清热泻火、解毒利咽、消肿止痛力胜，为治外科疔痈之良药。  2、目赤肿痛，头痛眩晕：本品味苦入肝，清泻肝火。  3、本品内服并煎汤外洗也用治湿疹、湿疮、风疹痒痛等。 ,植物,内服：煎服，10-15g。外用：适量。,尚不明确。
硫黄,石硫黄、石流黄、流黄、石留黄,味酸，性温；归肾、大肠经,外用解毒杀虫疗疮；内服补火助阳通便。,外治用于疥癣，秃疮，阴疽恶疮；内服用于阳痿足冷，虚喘冷哮，虚寒便秘。,有毒,内服：1.5-3g，炮制后入丸散服。外用：适量，研末油调涂敷患处。,孕妇慎用。不宜与芒硝、玄明粉同用。
甘蔗,藷蔗、薯蔗、干蔗、接肠草、竿蔗、糖梗,我国南方各地,清热生津，润燥和中，解毒。,用于烦热，消渴，呕哕反胃，虚热咳嗽，大便燥结，痈疽疮肿。,味甘，性寒，归肺、脾、胃经,内服：适量，30-90g；或榨汁饮。外用：适量，捣敷。,脾胃虚寒者慎服。
仙茅,地棕、独茅、山党参、海南参,味辛，性热；归肾、肝经,温肾壮阳，祛寒除湿。,主要用于阳痿精寒，遗尿尿频，寒湿痹痛，筋骨痿软，腹痛冷泻等。,有毒,内服：煎汤，3-10g；或入丸、散；或浸酒。外用：捣敷。,阴虚火旺者忌服。燥烈有毒，不宜久服。
黑豆,味甘，性平；归脾、肾经,植物,益精明目，养血祛风，利水，解毒。,阴虚烦渴，头晕目昏，体虚多汗，肾虚腰痛，水肿尿少，痹痛拘挛，手足麻木，药食中毒。,,内服：煎服，9-30g；外用适量。,尚不明确。
旱莲草,墨旱莲、金陵草、莲子草、旱莲草、旱莲子、白旱莲,菊目,滋补肝肾，凉血止血，祛湿止痒。,主治头晕目眩，须发早白，肾虚齿痛，吐衄咳血，尿血崩漏，阴痒，白浊，赤白带下等。,菊科,内服：煎汤，9-30g；或熬膏；或捣汁；或入丸、散。外用：捣敷；或捣绒塞鼻；或研末敷。,脾肾虚寒者忌服。
灶心土,伏龙肝、灶中黄土、釜下土、釜月下土、灶中土、灶内黄土,味辛，性温；归脾、胃经,,1、出血证：本品性温，能温暖中焦，收摄脾气而止血，为温经止血之要药。对脾气虚寒，不能统血之出血病证，皆可应用，尤其对吐血、便血的疗效更佳。 2、胃寒呕吐：本品性温质重，长于温中和胃而降逆止呕。主治脾胃虚寒，胃气不降所致的呕吐，与干姜、半夏、白术等同用，也可用治反胃、妊娠呕吐。 3、脾虚久泻：本品既能温脾暖胃，又能涩肠止泻，主治脾虚久泻，常配伍附子、干姜、白术等。若治胎前下痢，产后不止者，可以山楂、黑糖为丸，用本品煎汤代水送服，如伏龙肝汤（《张氏医通》）。 4、西医诊为上消化道出血、功能性子宫出血属脾胃虚寒、脾不统血，胃炎、溃疡性结肠炎、泄泻属脾胃虚寒者。,植物,内服：煎服，15-30g，布包，先煎；或60-120g，煎汤代水。亦可入丸、散，外用：适量。,
僵蚕,僵蚕、天虫、僵虫、白僵虫,味咸、辛，性平；归肝、肺、胃经,息风止痉，祛风止痛，化痰散结。,主要用于急慢惊风、癫痫、破伤风等出现的惊痫抽搐；风中经络，口眼歪斜；风热头痛，目赤，咽痛，风疹瘙痒；瘰疬痰核等。 ,动物,内服：煎服，3-10g。研末吞服，1-1.5g。或入丸、散剂。外用：研末撒或调敷。散风热多生用，余多炒用。,属于血虚而有风寒客邪者忌用。血小板减少、凝血机制障碍、有出血倾向者以及肝昏迷患者慎用。
南沙参,沙参、泡参、泡沙参,味甘，性微寒；归肺、胃经,养阴清肺，化痰，益气。,主要用于肺热燥咳、津伤口渴等。 ,植物,内服：煎汤，10-15g，鲜品15-30g，或入丸、散。,本品性凉，风寒咳嗽、脾胃虚寒及寒饮喘咳者宜慎用。
茺蔚子,益母子、冲玉子、益母草子、小胡麻,味甘、辛，性微寒；归肝经,活血调经，清肝明目。,1、妇女经产瘀血诸证：茺蔚子入肝经血分，善行瘀血、为妇科所常用。  2、肝经热盛，血逆于上，头痛头晕，心烦不宁。  3、肝热上攻，目赤肿痛。,小毒,内服：煎汤，6-9g；或入丸、散；或捣绞取汁。,茺蔚子有小毒，大量服用可发生中毒。
白及,甘根、连及草、白给、冰球子、白鸟儿头、地螺丝、羊角七、千年棕君求子、兜棕、白鸡儿、皲口药、利知子,味苦、甘、涩，性寒；归肺、胃、肝经,收敛止血，消肿生肌。,1、出血证：本品质粘味涩，为收敛止血之要药，可用治体内外诸出血证。因其主入肺、胃经，故临床尤多用于肺胃出血之证。  2、痈肿疮疡，手足皲裂，水火烫伤：本品寒凉苦泄，能消散血热之痈肿；味涩质粘，能敛疮生肌，为外疡消肿生肌的常用药。,植物,内服：煎服，3-10g；大剂量可用至30g；亦可入丸、散，入散剂，每次用2-5g；研末吞服，每次1.5-3g。外用：适量。,中药配伍禁忌：“十八反”中明言“乌头反白及”，故乌头（川乌，草乌）与白及一般不宜配伍。并反附子。
檵木叶,檵花叶,湖南、江西、福建、贵州、安徽、浙江、江苏、广东、广西、四川,收敛止血，清热解毒。,咯血，吐血，便血，崩漏，产后恶露不净，紫癜，暑热泻瘌，跌打损伤，创伤出血，肝热目赤，喉痛。,味苦、涩，性凉；归肝、胃、大肠经,内服：煎汤，15-30g；或捣汁。外用：适量，捣敷，研末敷，煎水洗或含漱。,脾胃虚寒者、孕妇、儿童慎用。
