药材,古籍,别名,性味归经,功用,药材简介,药剂1,药剂2,药剂3,药剂4,药剂5,药剂6,药剂7,药剂8,药剂9,药剂10,用法用量,注意事项
龟甲,《神农本草经》,龟板、乌龟壳、乌龟板、败龟板,咸、甘，微寒。归肝、肾、心经。,滋阴潜阳，益肾强骨，养血补心，固经止崩。,龟甲，中药名。为龟科乌龟属动物乌龟的甲壳。具有滋阴潜阳，益肾健骨，养血补心，固经止崩的功效。主治阴虚内热，骨蒸盗汗，热病后期，低热不退，阴虚劳嗽，咳血衄血，肝阳眩晕，虚风内动，筋骨痿软，囟门不合，心虚惊悸，失眠健忘，崩漏经多，赤白带下，杨梅大疮，痈疽肿毒等。,龟甲配熟地黄,龟甲配鳖甲,龟甲配龙骨,大补阴丸,孔圣枕中丹,虎潜丸,桑螵蛸散,养阴降压胶囊,,,龟甲煎汁内服时，成人每天的常规用量为9～24克。先煎。 醋龟甲煎煮服用，有效成分更容易被煎出，并去除腥气。 龟甲可以成膏体，或入丸、散剂。 龟甲也可以外用，外用时可将龟甲烧灰研末，用麻油调制后外敷患处。 无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药物的吸收和药效的发挥。,孕妇及胃有寒湿者忌用。
鳖甲,《神农本草经》,上甲、团鱼壳,咸，微寒。归肝、肾经。,滋阴潜阳，退热除蒸，软坚散结。,"鳖甲，中药名。为鳖科鳖属动物鳖的背甲。全年均可捕捉,以秋、冬二季为多，捕捉后杀死，置沸水中烫至背甲上的硬皮能剥落时，取出，剥取背甲，除去残肉，晒干。分布于各地。具有滋阴潜阳，退热除蒸,软坚散结之功效。常用于阴虚发热，骨蒸劳热,阴虚阳亢,头晕目眩，虚风内动，经闭，癥瘕，久疟疟母。",鳖甲配地骨皮,鳖甲配青蒿,鳖甲配熟地黄,青蒿鳖甲汤,秦艽鳖甲散,鳖甲煎丸,中华肝灵胶囊,肝复乐片,,,鳖甲煎汁内服时，成人每天的常规用量为9～24克。宜捣碎后先煎煮本品，再煎煮其他药材。 经砂烫醋淬后，更容易煎煮出有效成分，并去除腥气，便于服用。 本品还可以熬成膏剂，或入丸剂、散剂。 外用适量，烧存性（将药物炒至外部焦黑炭化，内部焦黄，尚且能尝出原本的气味），研末掺或调和后外敷患处。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,脾胃虚寒，食少便溏及孕妇禁服。
石斛,《神农本草经》,林兰、禁生、杜兰、石蓫、悬竹、千年竹,甘，微寒。归胃、肾经。,益胃生津，滋阴清热,石斛，中药名。为兰科石斛属植物环草石斛、马鞭石斛、黄草石斛、铁皮石斛或金钗石斛的茎。具有益胃生津，滋阴清热的功效。主治胃阴虚证，热病伤津证，肾阴虚证。,石斛配生地黄,石斛配沙参,石斛配天花粉,石斛配黄芪,石斛配枸杞子,清暑益气汤,地黄饮子,养阴清胃颗粒,,,石斛煎汁内服时，成人每天的常规用量为6～12克，鲜品15～30克。 切断，生用。干品入汤剂宜先下。入复方宜先煎，单用久煎；研末，3～6克；或入丸、散；或熬膏。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物以外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,温热病早期阴未伤者、湿温病未化燥者、脾胃虚寒者均禁服。
黑芝麻,《神农本草经》,胡麻子、脂麻,甘，平。归肝、肾、大肠经。,补肝肾，益精血，润肠燥。,黑芝麻，中药名。为胡麻科芝麻属植物芝麻的黑色种子。具有补益精血，润燥滑肠的功效。主治须发早白，头晕眼花，妇女产后乳少，风痹，血虚津枯，肠燥便秘等。,黑芝麻配何首乌,黑芝麻配肉苁蓉,遐龄颗粒,首乌丸,健延龄胶囊,养心定悸口服液（膏）,肺肾亏虚引起的久咳不止,血虚便秘,,,黑芝麻成人每天的常规用量为9～15克。用时捣碎。,脾弱便溏者勿服。
麦冬,麦门冬、沿阶草,味甘、微苦，性微寒，归胃、肺、心经,养阴润肺、益胃生津、清心除烦。,麦冬，中药名。百合科沿阶草属多年生常绿草本植物。具有生津解渴、润肺止咳的功效。主治肺燥干咳、阴虚痨嗽、喉痹咽痛、津伤口渴、内热消渴、心烦失眠、肠燥便秘等症。,,,,,,,,,,,,1、凡脾虚便溏、肺胃有痰饮湿浊及初感风寒咳嗽者忌服。 2、《品汇精要》：“寒多人不可服。” 3、《本草经疏》：“虚寒泄泻、痘疮虚寒作泻、产后虚寒泄泻者，咸忌之。” 4、《药性纂要》：“胃寒而多湿痰者勿用。” 5、《本经逢原》：“风热暴咳，咸非所宜。麻疹咳嗽，不可误用。”,
天冬,天门冬,甘、苦，寒；归肺、肾、胃经,养阴润燥，清肺生津。,天冬，中药名。为百合科植物天冬的干燥块根。具有养阴润燥，清肺生津的功效。主治肺阴虚证，肾阴虚证，热病伤津之食欲不振、口渴及肠燥便秘。,,,,,,,,,,,,,药膳食疗： 天门冬炖乌骨鸡： 功效：此道汤品除了能生津安神之外，也可以滋补强身，很适合身体虚弱的人。 原材料：天门冬15g，人参30g，乌骨鸡1/2只，米酒1大匙，盐少许。 做法：乌骨鸡洗净、切块。人参、天门冬洗净备用，锅中放入乌骨鸡人参、天门冬，加入清水淹过鸡肉，炖煮约30分钟至熟。最后加入米酒、盐调味即成。 用法：食鸡肉、喝汤。
墨旱莲,味甘、酸，性寒；归肝、肾经,滋补肝肾，凉血止血，祛湿止痒。,墨旱莲，中药名。为菊科鳢肠属植物鳢肠Eclipta prostrata L.的干燥地上部分。花开时采割，晒干。具有滋补肝肾，凉血止血，祛湿止痒的功效。主治头晕目眩，须发早白，肾虚齿痛，吐衄咳血，尿血崩漏，阴痒、白浊、赤白带下等。,墨旱莲煎汁内服时，成人每天的常规用量为6～12克。 切段，生用。熬膏、捣汁或入丸、散。外用：适量，捣敷，研末熬或捣成绒塞鼻。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物以外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,脾肾虚寒者忌服。,,,,,,,,,,,墨旱莲配女贞子 墨旱莲味甘、酸，性寒，具有滋补肝肾的功效；女贞子味甘、苦，性凉，具有滋补肝肾的功效。 两药配伍，可增强滋补肝肾的功效，适用于治疗肝肾阴虚所致头晕眼花、视物模糊不清、须发早白、腰膝酸软等。 墨旱莲配车前草 墨旱莲性寒，擅长凉血止血；车前草性寒，擅长利尿通淋。 两药配伍，具有凉血止血，利尿通淋的功效，适用于治疗小便涩痛尿血或尿中夹血、尿血等。 二至丸 药物组成：女贞子、墨旱莲。 功能与主治：补肾养肝。适用于治疗肝肾阴虚引起的口中发苦、咽喉干燥、头晕眼花、失眠多梦，以及腰膝酸软、须发早白等。 复方首乌地黄丸 药物组成：制何首乌、地黄、女贞子、墨旱莲。 功能与主治：滋阴补肾，乌须黑发，强壮筋骨。用于治疗腰膝酸软、头痛眩晕、须发早白等病症。 健神片 药物组成：墨旱莲、鸡血藤、金樱子、艾叶、桑椹、菟丝子、仙鹤草、牡蛎、狗脊、女贞子、甘草、合欢皮、首乌藤、五味子。 功能与主治：固肾涩精。用于治疗女性阴道分泌物增多、遗精、四肢酸软等病症。 维血宁 药物组成：虎杖、白芍、仙鹤草、地黄、鸡血藤、熟地黄、墨旱莲、太子参。 功能与主治：补血活血、清热凉血。用于治疗血小板、白细胞减少症，并可作为一般性贫血的补血健身剂。 止血片 药物组成：墨旱莲、地绵草、拳参、土大黄、珍珠母。 功能与主治：清热凉血，止血。用于治疗因血热引起的月经过多、鼻血、咳血、吐血、咯血等病症。 甲亢灵片 药物组成：夏枯草、墨旱莲、龙骨（煅）、牡蛎、丹参、山药。 功能与主治：平肝潜阳，软坚散结。用于阴虚阳亢所致的心慌、汗多、烦躁、易怒、咽喉干燥；以及甲状腺功能亢进出现上述症状的患者。,
,,,,,,,,,,,,,,,,,
麻黄根,《本草经集注》,甘、涩，平。归心、肺经。,固表止汗。,麻黄根，中药名。为麻黄科麻黄属植物草麻黄或中麻黄或木贼麻黄的干燥根和根茎。具有固表止汗的功效。主治自汗，盗汗。采集宜于8-9月。,,,,,,,,,,,,收敛固涩之性甚强，功专止汗，故有表邪者忌服。,
浮小麦,《本草汇言》,浮麦、小麦粉、浮水麦,甘，凉。归心经。,固表止汗，益气，除热。,,浮小麦配麻黄根,浮小麦配黄芪,浮小麦配酸枣仁,牡蛎散,更年安片,夜宁糖浆（颗粒）,卫表不固证、气阴两虚证,,,,浮小麦可以生用或炒用，煎汁内服时，成人每天的常规用量为6～30克。 研末服，3～5克。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,对于表邪未尽，汗出者忌用。
糯稻根,《本草再新》,糯谷根、糯稻草根、糯稻根须、稻根须,甘，平。归心、肝经。,固表止汗，益胃生津，退虚热。,糯稻根，中药名。为禾本科稻属植物糯稻的根状茎及须根。南北各地都有栽培。具有养阴，止汗，健胃之功效。常用于自汗，盗汗，肝炎，乳糜尿。,,,,,,,,,,,,用于阴虚发热，自汗盗汗，口渴咽干。糯稻根有一定的养胃阴、除虚热和止汗作用。对病后阴虚发热及肺痨蒸热盗汗者，尤为适宜。单用力薄，常随证配伍，如阴虚发热，口渴咽干者，配生地、麦冬、地骨皮之类以养阴清热；自汗盗汗者，配浮小麦、牡蛎之类以敛汗。《四川中药志》1960年版：“配苡仁、白蔻、陈皮、谷芽，治胃弱食少；配黄芩、白术能安胎。”
五味子,《神农本草经》,北五味子、辽五味子、北味,酸、甘，温。归肺、心、肾经。,收敛固涩，益气生津，补肾宁心。,五味子，中药名。为木兰科植物五味子的干燥成熟果实。具有收敛固涩，益气生津，补肾宁心的功效。主治久咳虚喘，自汗，盗汗，遗精，滑精，久泻不止，津伤口渴，消渴，心悸，失眠，多梦。,五味子配细辛,四神丸,都气丸,生脉散,苓甘五味姜辛汤,生脉饮（胶囊）,止咳宝片,风寒咳嗽颗粒（丸、冲剂）,,,五味子煎汁内服时，成人每天的常规用量为2～6克。 或入丸、散、膏剂。研末服，每次1～3克。 无论饭前还是饭后服，服药与进食都应间隔0.5-1小时，以免影响药物吸收和药效的发挥。,凡表邪未解，内有实热，咳嗽初起，麻疹初期，均不宜用。
肉豆蔻,《药性论》,迦拘勒、肉蔻、肉果、顶头肉、玉果、扎地、麻尖,辛，温。归脾、胃、大肠经。,温中行气，涩肠止泻,肉豆蔻，中药名。为肉豆蔻科肉豆蔻属植物肉豆蔻的成熟种仁。具有涩肠止泻，温中行气的功效。主治脾胃虚寒，久泻久痢，胃寒胀痛，食少呕吐等。,肉豆蔻配补骨脂,肉豆蔻配诃子,肉豆蔻散子,小儿止泻安颗粒,脾胃虚寒气滞所致的脘腹胀痛、食欲不振,泄泻（脾肾虚寒型）,冷痢腹痛，不能食者,,,,肉豆蔻煎汁内服时，成人每天的常规用量为3～10克。 入丸、散，每次1.5～3克。 肉豆蔻未经炮制去油，或用量过大，可引起中毒，所以此药一般不用生品。 温中止泻、涩肠止泻应该放在火灰里慢慢烤熟后去油使用；入药应该将药物包裹后放火中烤熟后去油使用。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,1.湿热泻痢及胃热疼痛者忌用。 2.生品含大量油质，性烈易滑肠，故入药一般煨制后用，可增强温中止泻功能。
诃子,《药性论》,诃黎勒、诃黎、随风子,苦、酸、涩，平。归肺、大肠经。,涩肠止泻，敛肺止咳，降火利咽。,诃子，中药名。为使君子科榄仁树属植物诃子的成熟果实。具有涩肠止泻，敛肺止咳，利咽开音的功效。主治久泻久痢，便血脱肛，肺虚喘咳，久嗽不止，咽痛音哑。,诃子配白果,诃子配赤石脂、乌梅,诃子配升麻、黄芪,真人养脏汤,清音丸,黄氏响声丸,苏合香丸,,,,诃子煎汁内服时，成人每天的常规用量为3～10克。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物以外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。 涩肠止泻宜煨用，敛肺清热、利咽开音宜生用。,外邪未解，内有湿热积滞者慎服。
五倍子,《本草拾遗》,文蛤、百虫仓、木附子、盐麸叶、上毬子,酸、涩，寒。归肺、大肠、肾经。,敛肺降火，涩肠止泻，敛汗，止血，收湿敛疮，固精缩尿。,五倍子，中药名。为漆树科盐肤木属植物盐肤木、青麸杨或红麸杨叶上的虫瘿，主要由五倍子蚜寄生而形成。具有敛肺降火，止咳止汗，涩肠止泻，固精止遗，收敛止血，收湿敛疮的功效。主治咳嗽，咯血，自汗，盗汗，久泻，久痢，遗精，滑精，崩漏，便血痔血，湿疮，肿毒。,五倍子配地榆,五倍子配茯苓,固冲汤,痰咳净片（散）,小儿健脾贴膏,周氏回生丸,麝香痔疮栓,黄水疮散,,,五倍子煎汁内服时，成人每天的常规用量为3～6克。入丸散服时，成人每天的常规用量为1～1.5克。 外用时适量，研末外敷或煎汤熏洗。,外感风寒或肺有实热之咳嗽及积滞未清之泻痢忌服。
罂粟壳,《本草发挥》,御米壳、栗壳、烟斗斗、鸦片烟果果,酸、涩，平；有毒。归肺、大肠、肾经。,敛肺，涩肠，止痛。,罂粟壳，又名御米壳，俗称米壳，为植物罂粟的干燥成熟果壳。秋季将已割取浆汁后的成熟果实摘下，破开，除去种子及枝梗，干燥。 呈椭圆形或瓶状卵形，多已破碎成片状，直径15～125，长3～175。外表面黄白色、浅棕色至淡紫色，平滑，略有光泽，有纵向或横向的割痕。顶端有6～14条放射状排列呈圆盘状的残留柱头；基部有短柄。体轻，质脆。内表面淡黄色，微有光泽。有纵向排列的假隔膜，棕黄色，上面密布略突起的棕褐色小点。气微清香，味微苦。,罂粟壳配麻黄,罂粟壳配乌梅,真人养脏汤,九仙散,复方满山红糖浆,洋参保肺丸,泻痢固肠片,定喘止嗽丸,,,罂粟壳煎汁内服时，成人每天的常规用量为3~6克，也可以入丸、散。 罂粟壳过量或持续用易成瘾，只宜轻用暂用，不宜过量或持续服用，以免中毒或成瘾。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。 用于止咳时，适合蜜炙使用。用于止泻、止痛时，适合醋炒使用。,本品易成瘾，不宜常服；孕妇及儿童禁用；运动员慎用；咳嗽或泻痢初起邪实者忌用。
